cluster,role,description,size,saseo_ratio
12,사서 원본 종결,"사서 51.5%, 문장 단위 표준 종결형 (라, 아, 는~니라)",4982,51.48534725010037
4,사서 정의 패턴,"사서 27.3%, 간결한 주석 정의 방식",4951,27.348010502928698
11,문집 다양 종결,"문집 우세 (47.4%), 수사적 변주가 높은 종결 패턴",7352,18.471164309031558
13,기타 평서 종결,"기타 우세 (36.3%), 범용 문장 단위 평서",4546,14.848218213814343
3,경전 반복 정의,"삼경 우세 (51.4%), 대구 반복 패턴 (은~라/는~라)",10059,14.7827815886271
15,문집 연속 동작,"문집 우세 (53.4%), 문장 간 연속 동작 패턴",6409,7.723513808706506
5,문집 문장 해설,"문집 우세 (43.3%), 문장 단위 해설 구조",5077,7.0514083119952735
0,범용 문장 서술,"범용 서술 패턴, 낮은 사서 비율 (6.8%)",4968,6.843800322061192
14,기타 정의 서술,"기타 우세 (54.0%), 문장 단위 정의 구조",3902,5.330599692465402
8,문집 평서 종결,"문집 우세 (59.8%), 단순 문장 끝맺음",5316,3.7434161023325805
2,기타 문장 서술,"기타 문헌 우세 (45.5%), 다양한 문장 전개",5764,3.0881332408049964
10,기타 동사 전개,"기타 우세 (42.6%), 문장 단위 동작 전개",5960,3.070469798657718
6,문집 동사 연결,"문집/기타 우세, 문장 간 동사 연결",3432,2.272727272727273
7,기타 시간 표현,"기타 우세 (85.0%), 문장 단위 시간 배경 표시",4663,1.7156337122024448
1,문집 문장 서술,"문집 우세 (66.6%), 문장 단위 평서 서술",6265,1.707901037509976
9,역사서 동사 접속,"문집/역사서 우세, 문장 간 서사 전개",4297,0.8843379101698859
