cluster,role,description,size,saseo_ratio
10,구 단위 인과 논리,로/하여/라 원인-결과 구 단위 전개 (사서 23.8%),2914,23.781743308167467
1,구 단위 주제 평서,구 단위 주제 표시 및 서술 구조 (는/라/이라),3264,16.237745098039216
2,구 단위 의문 서술,의문 및 서술 기능의 구 단위 혼합,9932,15.505436971405558
8,구 단위 혼합 접속,니/하여/하고 다양한 구 단위 접속,9588,14.403420942845225
9,구 단위 동사 접속,하고/하니/에 동사 접속 중심,3500,11.571428571428571
7,구 단위 접속 연결,하고/하니/하며 접속사 기반 구성,3978,11.085972850678733
12,구 단위 특수 접속,로/니/리오 특수 조사 기반 구 단위 접속,4689,10.300703774792067
0,범용 구 단위 문법,"29만 건 중 66% 차지, 보편적 조사/접속 기능",194553,10.045591689668111
15,구 단위 기타 연결,구 단위 기타 부수적 연결,3153,9.76847446875991
3,구 단위 접속 중심,하고/하니/하여 등 구 사이 병렬/인과 접속,30347,8.890499884667348
11,구 단위 혼합 연결,는/니/하여 혼합된 구 단위 연결,4919,8.782272819678797
6,구 단위 겸양 존대,니이다/하니이다 겸양의 구 단위 화용,3135,8.357256778309411
5,구 단위 연결 어미,하야/니/는 연결 어미 패턴,7261,7.671119680484782
4,구 단위 서술격 조사,는/이/라 서술격 조사 중심의 구 구성,8481,7.039264237707818
14,구 단위 연속 동작,하야/아/여 동작의 연속적 구 구성,1436,6.267409470752089
13,구 단위 종결 혼합,는/라/니 구 단위 종결 기능 혼합,3739,6.1513773736293125
