현토,빈도,TAM범주,주요범주
은라은라,512,deontic_mood,deontic_mood
는라는라,478,deontic_mood,deontic_mood
은라는라,456,deontic_mood,deontic_mood
는라은라,435,deontic_mood,deontic_mood
라은라,344,deontic_mood,deontic_mood
이라,322,"declarative_mood, deontic_mood",declarative_mood
라는라,306,deontic_mood,deontic_mood
는라,171,deontic_mood,deontic_mood
은라,157,deontic_mood,deontic_mood
는이라은라,124,"declarative_mood, deontic_mood",declarative_mood
이라에하다,122,"declarative_mood, deontic_mood",declarative_mood
는이라는라,122,"declarative_mood, deontic_mood",declarative_mood
은이라은라,112,"declarative_mood, deontic_mood",declarative_mood
하니라,112,"declarative_mood, deontic_mood",declarative_mood
는니라,104,"declarative_mood, deontic_mood",declarative_mood
은라는이라,98,"declarative_mood, deontic_mood",declarative_mood
는라은이라,98,"declarative_mood, deontic_mood",declarative_mood
는라는이라,98,"declarative_mood, deontic_mood",declarative_mood
는니라는라,96,"declarative_mood, deontic_mood",declarative_mood
은라는니라,94,"declarative_mood, deontic_mood",declarative_mood
라이라,88,"declarative_mood, deontic_mood",declarative_mood
는라는니라,88,"declarative_mood, deontic_mood",declarative_mood
니라,86,"declarative_mood, deontic_mood",declarative_mood
은라은이라,86,"declarative_mood, deontic_mood",declarative_mood
은이라는라,86,"declarative_mood, deontic_mood",declarative_mood
은니라은라,86,"declarative_mood, deontic_mood",declarative_mood
는니라은라,82,"declarative_mood, deontic_mood",declarative_mood
라은니라,80,"declarative_mood, deontic_mood",declarative_mood
라하니라,80,"declarative_mood, deontic_mood",declarative_mood
은라은니라,80,"declarative_mood, deontic_mood",declarative_mood
은라이라,78,"declarative_mood, deontic_mood",declarative_mood
라은이라,78,"declarative_mood, deontic_mood",declarative_mood
하니이라,70,"declarative_mood, deontic_mood",declarative_mood
라라,70,deontic_mood,deontic_mood
라는이라,68,"declarative_mood, deontic_mood",declarative_mood
이라은라,68,"declarative_mood, deontic_mood",declarative_mood
이라이라,66,"declarative_mood, deontic_mood",declarative_mood
라는니라,66,"declarative_mood, deontic_mood",declarative_mood
은니라,64,"declarative_mood, deontic_mood",declarative_mood
이라하다,60,"declarative_mood, deontic_mood",declarative_mood
은이라,60,"declarative_mood, deontic_mood",declarative_mood
는라이라,56,"declarative_mood, deontic_mood",declarative_mood
는라은니라,56,"declarative_mood, deontic_mood",declarative_mood
은니라는라,56,"declarative_mood, deontic_mood",declarative_mood
하여이라,54,"declarative_mood, deontic_mood",declarative_mood
라아,53,deontic_mood,deontic_mood
라여,53,deontic_mood,deontic_mood
이니라,52,"declarative_mood, deontic_mood",declarative_mood
는라라,50,deontic_mood,deontic_mood
는라하니라,50,"declarative_mood, deontic_mood",declarative_mood
는이라,50,"declarative_mood, deontic_mood",declarative_mood
이라하여,48,"declarative_mood, deontic_mood",declarative_mood
이라하니,48,"declarative_mood, deontic_mood",declarative_mood
은요은라는라,48,deontic_mood,deontic_mood
하고이라,46,"declarative_mood, deontic_mood",declarative_mood
이라는라,46,"declarative_mood, deontic_mood",declarative_mood
은일새라,44,deontic_mood,deontic_mood
은라라,44,deontic_mood,deontic_mood
은요은라은라,44,deontic_mood,deontic_mood
에하니라,44,"declarative_mood, deontic_mood",declarative_mood
에이라,42,"declarative_mood, deontic_mood",declarative_mood
은이니라은라,42,"declarative_mood, deontic_mood",declarative_mood
는이라라,42,"declarative_mood, deontic_mood",declarative_mood
는이니라,40,"declarative_mood, deontic_mood",declarative_mood
는라는이니라,40,"declarative_mood, deontic_mood",declarative_mood
는이니라는라,40,"declarative_mood, deontic_mood",declarative_mood
하니라하니라,40,"declarative_mood, deontic_mood",declarative_mood
은라은요은라,39,deontic_mood,deontic_mood
이라라,38,"declarative_mood, deontic_mood",declarative_mood
은이니라는라,38,"declarative_mood, deontic_mood",declarative_mood
은라하니라,38,"declarative_mood, deontic_mood",declarative_mood
하니라는라,38,"declarative_mood, deontic_mood",declarative_mood
라은요은라,36,deontic_mood,deontic_mood
하야이라,36,"declarative_mood, deontic_mood",declarative_mood
는라는요는라,34,deontic_mood,deontic_mood
은라은이니라,34,"declarative_mood, deontic_mood",declarative_mood
라은이니라,34,"declarative_mood, deontic_mood",declarative_mood
는라은이니라,32,"declarative_mood, deontic_mood",declarative_mood
이라하고,32,"declarative_mood, deontic_mood",declarative_mood
라니라,32,"declarative_mood, deontic_mood",declarative_mood
는일새라,31,deontic_mood,deontic_mood
은라는요는라,31,deontic_mood,deontic_mood
라로다,30,"declarative_mood, deontic_mood",declarative_mood
이라에하여하다,30,"declarative_mood, deontic_mood",declarative_mood
은요은라,30,deontic_mood,deontic_mood
는라는하니라,30,"declarative_mood, deontic_mood",declarative_mood
