PA_ID,PA_의미역,PA_사서%,↔,SA_ID,SA_의미역,SA_사서%,겹침%,겹침수
PA-0,범용 문장 서술,6.8,↔,SA-11,구 단위 혼합 연결,8.8,5.0,226/4510
PA-1,문집 문장 서술,1.7,↔,SA-3,구 단위 접속 중심,8.9,6.0,337/5598
PA-2,기타 문장 서술,3.1,↔,SA-3,구 단위 접속 중심,8.9,9.1,371/4084
PA-3,경전 반복 정의,14.8,↔,SA-3,구 단위 접속 중심,8.9,26.8,2214/8247
PA-4,사서 정의 패턴,27.3,↔,SA-3,구 단위 접속 중심,8.9,8.5,374/4377
PA-5,문집 문장 해설,7.1,↔,SA-3,구 단위 접속 중심,8.9,5.3,244/4613
PA-6,문집 동사 연결,2.3,↔,SA-3,구 단위 접속 중심,8.9,5.7,179/3164
PA-7,기타 시간 표현,1.7,↔,SA-3,구 단위 접속 중심,8.9,7.1,291/4089
PA-8,문집 평서 종결,3.7,↔,SA-2,구 단위 의문 서술,15.5,3.7,181/4918
PA-9,역사서 동사 접속,0.9,↔,SA-3,구 단위 접속 중심,8.9,8.6,347/4020
PA-10,기타 동사 전개,3.1,↔,SA-11,구 단위 혼합 연결,8.8,4.3,229/5370
PA-11,문집 다양 종결,18.5,↔,SA-8,구 단위 혼합 접속,14.4,6.6,397/5976
PA-12,사서 원본 종결,51.5,↔,SA-8,구 단위 혼합 접속,14.4,3.4,112/3338
PA-13,기타 평서 종결,14.8,↔,SA-8,구 단위 혼합 접속,14.4,4.4,177/4023
PA-14,기타 정의 서술,5.3,↔,SA-3,구 단위 접속 중심,8.9,13.8,386/2801
PA-15,문집 연속 동작,7.7,↔,SA-0,범용 구 단위 문법,10.0,77.8,4567/5870
