rank,distance,cluster_id,book_name,paragraph_id,left_sentence_id,right_sentence_id,src_left,src_right,tgt_left,tgt_right
1,0.8657768964767456,11,당송팔대가문초구양수6,24,215,216,嗚呼라,始爲朋黨之論者誰歟아,아아!,붕당(朋黨)의 논의를 처음 주창한 사람이 누구인가?
2,0.8508159518241882,11,당송팔대가문초구양수2,541,2125,2126,嗚呼라,始爲朋黨之論者誰歟아,아아!,처음 붕당(朋黨)이란 말을 주장한 자는 누구인가?
3,0.8430795669555664,5,서경집전(하),186,705,706,西旅는 西方蠻夷國名이라,犬高四尺曰獒라,서려(西旅)는 서방(西方)의 만이(蠻夷)의 나라 이름이다.,개가 키가 4척(尺)인 것을 오(獒)라 한다.
4,0.8403791785240173,9,당송팔대가문초구양수3,272,1198,1199,山之僧曰智僊也라,名之者誰오,산승(山僧)인 지선(智僊)이다.,이름을 지은 자는 누구인가?
5,0.8370081186294556,13,자치통감강목4,595,3532,3533,"椒房, 殿名, 在未央宮, 皇后所居.","以椒和泥塗壁, 取其溫煖而芳, 辟除惡氛.","“초방(椒房)”은 궁전의 이름으로 미앙궁(未央宮)에 있었으니, 황후(皇后)가 거처하는 곳이다.","천초(川椒)를 진흙과 섞어 벽에 바르니, 이는 따뜻하고 향기로워서 나쁜 냄새를 제거하는 뜻을 취한 것이다."
6,0.8345531225204468,5,당송팔대가문초왕안석1,533,2339,2340,今所謂慧空禪院者는 褒之廬冡也니,距其院東五里에 所謂華山洞者는 以其乃華山之陽으로 名之也라,지금 혜공선원(慧空禪院)이라 일컫는 곳은 혜포(慧褒)의 무덤을 지키는 사원(寺院)이다.,"혜공선원(慧空禪院)에서 동쪽으로 5리(里)쯤에 이른바 화산동(華山洞)이라는 곳이 있는데, 그곳이 곧 화산(華山)의 남쪽이기 때문에 그렇게 이름을 지은 것이다."
7,0.8327359557151794,2,당시삼백수1,125,831,832,〈漁翁〉,柳宗元,〈늙은 어부〉,유종원
8,0.8290922045707703,5,당송팔대가문초증공1,338,1842,1843,若日役五千人하여 益隄使高八尺인댄 當一歲畢이요,其竹木之費 凡九十二萬有三千이요,만약 날마다 5천 명을 파견하여 둑의 높이가 8척이 되도록 둑을 증축한다면 1년 만에 마칠 수 있다.,"그 공사에 들어가는 대나무와 목재의 비용이 총 92만 3, 000문(文)이다."
9,0.8280131220817566,12,자치통감강목4,64,406,407,"列仙傳 “安期生, 琅邪人, 賣藥東海邊,",時人皆言千歲. ”,"≪열선전(列仙傳)≫에 “안기생(安期生)은 낭야(琅邪) 사람이니, 동해 바닷가에서 약을 팔았다.","당시 사람들이 모두 그의 나이는 1, 000세라고 말하였다. ” 하였다."
10,0.8252447247505188,9,당송팔대가문초소식2,342,1694,1695,正統者는 何耶오,名耶아,정통(正統)이란 것은 무엇인가?,명(名)인가?
11,0.8240671753883362,13,당송팔대가문초한유1,104,576,577,通計一家五口所食之鹽하되 平叔所計一日以十錢爲率이면 一月當用錢三百이니,是則三日食鹽一斤이요 一月率當十斤이니이다,식구가 다섯인 집에서 먹는 소금을 계산하여 장평숙이 계산한 하루의 10전을 기준으로 삼으면 한 달에 300전을 소금 값으로 써야 합니다.,"그렇다면 사흘에 소금 한 근(斤)이 필요하고, 한 달이면 대체로 열 근이 필요합니다."
12,0.8237453103065491,5,당송팔대가문초증공1,384,2161,2162,其舊名은 曰鸎脰湖니 而今名은 大曆八年令儲仙舟之所更也라,貞元元年에 刺史任侗이 又治而大之하고,"광덕호(廣德湖)의 옛 이름은 앵두호(鸎脰湖)라 하는데, 현재의 명칭은 대력(大曆) 8년 은현(鄞縣) 현령(縣令) 저선주(儲仙舟)가 바꾼 것이다.",정원(貞元) 원년에는 자사(刺史) 임동(任侗)이 또 광덕호(廣德湖)를 정비하여 크게 만들었다.
13,0.82310950756073,11,당송팔대가문초증공1,154,910,911,然後에 戰國策三十三篇復完하니라,敍曰,이렇게 한 뒤에 ≪전국책(戰國策)≫ 33편이 비로소 원상 복구되었다.,서문을 다음과 같이 쓴다. 
14,0.8225714564323425,13,당시삼백수1,116,646,647,劍器武舞之曲名 其舞用女妓雄妝 空手而舞 非用刀劍也,文獻通考劍器恐指受劍之物 謂空手也,"검기(劍器)는 무무(武舞)의 곡(曲)이름인데, 그 춤은 녀기(女妓)를 웅걸(雄傑)하게 단장시켜 공수(空手)로 춤추게 하는 것이요 도검(刀劍)을 사용하는 것이 아니다.","≪문헌통고(文獻通考)≫에, “검기란 아마도 칼을 받아들이는 물건을 가리킨 듯하다. ” 하였으니 공수(空手)를 이른다."
15,0.82224041223526,12,당송팔대가문초증공1,371,2074,2075,自門至於寢廬히 總爲屋凡若干區요,自計材至於用工히 總爲日凡二千三百九十六日而落成焉하니라,문에서부터 숙소까지 약간의 구역에 건물들을 새로 지었다.,"건축 자재를 준비한 시기부터 노동력을 투입한 시기까지 총 2, 396일이 걸린 뒤에 준공되었다."
16,0.8202826380729675,12,당송팔대가문초구양수4,285,1341,1342,以寶元二年四月二十五日卒하니 享年四十有二라,其平生所爲文曰破碎集公安集南陽集凡三十卷이라,보원(寶元) 2년(1039) 4월 25일에 졸하니 향년(享年) 42세였다.,"그가 평생 지은 문장은 ≪파쇄집(破碎集)≫, ≪공안집(公安集)≫, ≪남양집(南陽集)≫인데 모두 30권이다."
17,0.818257749080658,5,자치통감강목4,64,405,406,"丹砂, 藥名.","列仙傳 “安期生, 琅邪人, 賣藥東海邊,",단사(丹砂)는 약(藥)의 이름이다.,"≪열선전(列仙傳)≫에 “안기생(安期生)은 낭야(琅邪) 사람이니, 동해 바닷가에서 약을 팔았다."
18,0.8182399272918701,6,당송팔대가문초유종원1,7,56,57,僕自去年八月來로 痞疾稍已이라,往時間一二日作이나 今一月乃二三作이라,저는 지난해 8월 이후 비질(痞疾)이 약간 나았습니다.,과거에는 하루나 이틀 간격으로 발작하였으나 지금은 한 달에 두세 번씩 발작합니다.
19,0.8145734071731567,9,논어집주,753,2678,2679,達巷은 黨名이니,其人姓名은 不傳이라,달항(達巷)은 당(黨)의 이름이다.,그 사람의 성명(姓名)은 전하지 않는다.
20,0.8137945532798767,10,춘추좌씨전1,282,1821,1822,頓 子爵,宗 子爵,돈(頓) 자작이다.,종(宗) 자작이다.
21,0.8137388825416565,1,논어집주,1549,4964,4965,冢宰는 大宰也라,百官聽於冢宰라 故로 君得以三年不言也라,총재(冢宰)는 태재(太宰)이다.,"백관(百官)들이 총재(冢宰)에게 명령을 들으므로, 군주(君主)가 3년 동안 말하지 않을 수 있는 것이다."
22,0.8135673999786377,12,당송팔대가문초증공1,162,944,945,南齊書는 八紀와 十一志와 四十列傳으로 合五十九篇이니 梁蕭子顯撰하니라,始에 江淹已爲十志하고 沈約又爲齊紀어늘 而子顯自表武帝하여 別爲此書라,"≪남제서(南齊書)≫는 8편의 〈본기(本紀)〉와 11편의 〈지(志)〉와 40편의 〈열전(列傳)〉으로 모두 59편인데, 양(梁)나라 소자현(蕭子顯)이 편찬하였다.","처음에 강엄(江淹)이 이미 10편의 〈지(志)〉를 만들고 심약(沈約)이 또 〈제기(齊紀)〉를 만들었는데, 소자현(蕭子顯)이 스스로 무제(武帝)에게 표문을 올려 따로 이 책을 만들었"
